discouraged; обескураженный
hassle; хлопоты
desired; желаемый
inherited; унаследованный
grasp; схватывание
resembles; напоминает
convention; соглашение
violate; нарушать
prescribe; назначать
introspection; внутреннее осмысление
elaborate; разработать
sufficient; достаточный
invoke; вызывать
mangling; искажение
refrain; воздерживаться
descendant; потомок
query; запрос
concurrency; параллельность
brief; краткий
derived; производный
devote; посвятить
alias; псевдоним
trailing; завершающий
